Category,Question
Type Element Queries,"Làm thế nào để lấy phần tử loại của một thể hiện họ cụ thể?"
Type Element Queries,"Làm thế nào để lấy tất cả các loại tường trong dự án hiện tại?"
Type Element Queries,"Làm thế nào để lấy tất cả các loại cửa trong dự án hiện tại?"
Type Element Queries,"Làm thế nào để lấy tất cả các loại thuộc một danh mục họ cụ thể?"
Type Element Queries,"Làm thế nào để lấy một loại cụ thể theo tên của nó?"
Type Element Queries,"Làm thế nào để lấy tất cả các tham số liên quan đến một loại cụ thể?"
Type Element Queries,"Làm thế nào để lấy loại mặc định cho một danh mục cụ thể?"
Type Element Queries,"Làm thế nào để lấy tất cả các vật liệu được sử dụng trong một loại cụ thể?"
Type Element Queries,"Làm thế nào để lấy các kích thước được xác định trong một loại cụ thể (ví dụ: chiều rộng và chiều cao của một loại cửa)?"
Type Element Queries,"Làm thế nào để tìm tất cả các thể hiện của một loại cụ thể?"
