english, vietnamese
Phase Demolished,Giai đoạn bị phá hủy
Elevation from Level,Độ cao từ cấp độ
Host,Chủ
Offset from Host,Offset từ chủ
Armrest Left,Ghế tay trái
Armrest Right,Ghế tay phải
Type IFC Predefined Type,Loại IFC định nghĩa trước
Export Type to IFC As,Loại xuất sang IFC như
Export Type to IFC,Loại xuất sang IFC
Type IfcGUID,Loại GUID IFC
Default Elevation,Độ cao mặc định
Seat Material,Vật liệu ghế
Legs Material,Vật liệu chân
Frame Material,Vật liệu khung
Back Material,Vật liệu lưng
Width,Chiều rộng
Weight,Trọng lượng
Height,Chiều cao
Depth,Chiều sâu
Content Author,Tác giả nội dung
Assembly Code,Mã lắp ráp
Type Image,Loại hình ảnh
Type Comments,Loại ghi chú
Assembly Description,Mô tả lắp ráp
Type Mark,Loại ký hiệu
OmniClass Number,Số OmniClass
OmniClass Title,Tiêu đề OmniClass
Code Name,Tên mã
deka,Deka
konstrukcija,Konstrukcija
noge,Noge
plahta,Plahta
duzina,Duzina
sirina,Sirina
Structural,Cấu trúc
Structural Usage,Sử dụng cấu trúc
Location Line,Đường vị trí
Base Constraint,Giới hạn cơ sở
Base Offset,Offset cơ sở
Base is Attached,Cơ sở được gắn
Base Extension Distance,Khoảng cách mở rộng cơ sở
Top Constraint,Giới hạn trên
Unconnected Height,Chiều cao không liên kết
Top Offset,Offset trên
Top is Attached,Trên được gắn
Top Extension Distance,Khoảng cách mở rộng trên
Room Bounding,Giới hạn phòng
Related to Mass,Liên quan đến khối lượng
Area,Diện tích
Volume,Thể tích
Cross-Section,Mặt cắt ngang
Structure,Cấu trúc
Coarse Scale Fill Pattern,Mẫu lấp đầy cấp độ thô
Coarse Scale Fill Color,Màu sắc lấp đầy cấp độ thô
Wrapping at Inserts,Bọc tại các điểm chèn
Wrapping at Ends,Bọc tại các đầu
Structural Material,Vật liệu cấu trúc
Fire Rating,Đánh giá lửa
Function,Chức năng
Heat Transfer Coefficient (U),Hệ số chuyển nhiệt
Thermal Resistance (R),Kháng nhiệt
Thermal Mass,Khối nhiệt
Absorptance,Tính hấp thụ
Sill Height,Chiều cao chân cửa
Finish,Hoàn thiện
Frame Type,Loại khung
Head Height,Chiều cao đầu
Define Thermal Properties by,Xác định tính chất nhiệt bằng
Visual Light Transmittance,Độ truyền ánh sáng nhìn thấy
Solar Heat Gain Coefficient,Hệ số tăng nhiệt từ ánh sáng mặt trời
Analytic Construction,Kết cấu phân tích
Operation,Hoạt động
Door Material,Vật liệu cửa
Wall Closure,Khóa tường
Construction Type,Loại kết cấu
Thickness,Độ dày
Trim Projection Ext,Dự kiến cắt giảm bên ngoài
Trim Projection Int,Dự kiến cắt giảm bên trong
Trim Width,Chiều rộng cắt giảm
Rough Width,Chiều rộng thô
Rough Height,Chiều cao thô
Location,Vị trí
Panel,Bảng
Circuit Number,Số mạch
Weight Net (Kg),Trọng lượng net (kg)
Region South America,Khu vực Nam Mỹ
Region Oceania,Khu vực Oceania
Region North America,Khu vực Bắc Mỹ
Region Middle East,Khu vực Trung Đông
Region Europe,Khu vực châu Âu
Region Asia,Khu vực châu Á
Region Antarctica,Khu vực Nam Cực
Region Africa,Khu vực châu Phi
QR code,Mã QR
Product group,Nhóm sản phẩm
Product family,Gia đình sản phẩm
Product SKU,Mã SKU sản phẩm
Nominal width,Chiều rộng danh nghĩa
Nominal height,Chiều cao danh nghĩa
Manufacturer name,Tên nhà sản xuất
Manufacturer country,Quốc gia nhà sản xuất
Edition number,Số phiên bản
Design country,Quốc gia thiết kế
Date of publishing,Ngày xuất bản
Uniclass 2.0 Description,Mô tả Uniclass 2.0
Uniclass 2.0 Code,Mã Uniclass 2.0
Uniclass 1.4 Description,Mô tả Uniclass 1.4
Uniclass 1.4 Code,Mã Uniclass 1.4
UNSPSC Code,Mã UNSPSC
OmniClass Description,Mô tả OmniClass
OmniClass Code,Mã OmniClass
NBS Reference Description,Mô tả tham khảo NBS
NBS Reference Code,Mã tham khảo NBS
IFC Classification,Phân loại IFC
COBIe Type Category,Loại phân loại COBIe
BIMobject category,Loại BIMobject
Material secondary,Vật liệu thứ cấp
Material main,Vật liệu chính
Youtube clip,Video Youtube
Technical description,Mô tả kỹ thuật
Product data url,URL dữ liệu sản phẩm
Product certification,Chứng nhận sản phẩm
Product Guid,Hướng dẫn sản phẩm
Installation instructions,Hướng dẫn lắp đặt
EAN code,Mã EAN
Weight_IP,Trọng lượng IP
Watts2,Công suất 2
Watts1,Công suất 1
Unit_Issue,Đơn vị phát hành
UTIL_6_Misc,Dụng cụ 6
UTIL_5_NonMedGas,Dụng cụ 5
UTIL_4_MiscGas,Dụng cụ 4
UTIL_3_MedGas,Dụng cụ 3
UTIL_2_Elec,Dụng cụ 2
UTIL_1_WaterDrain,Dụng cụ 1
Top Panel Material,Vật liệu bảng trên
Toe Panel Material,Vật liệu bảng chân
Side Panel Material,Vật liệu bảng bên
Shelf Panel Material,Vật liệu bảng giá
Nomenclature,Tên gọi
NSN,Mã NSN
JSN,Mã JSN
Fund_Source_VA,Nguồn vốn VA
Fund_Source_Navy,Nguồn vốn Hải quân
Fund_Source_Army,Nguồn vốn Quân đội
Fund_Source_AF,Nguồn vốn Không quân
ELEC_Volts2,Điện áp 2
ELEC_Volts1,Điện áp 1
ELEC_Phase2,Giai đoạn 2
ELEC_Phase1,Giai đoạn 1
ELEC_HertzSwitch,Tần số chuyển đổi
ELEC_HertzDependent,Tần số phụ thuộc
ELEC_Hertz,Tần số
ELEC_Amps2,Aptom 2
ELEC_Amps1,Aptom 1
Drawer Front Material,Vật liệu mặt trước ngăn kéo
Door Panel Material,Vật liệu bảng cửa
DetailDescription,Mô tả chi tiết
DIM_Width_IP,Chiều rộng IP
DIM_Height_IP,Chiều cao IP
DIM_Depth_IP,Chiều sâu IP
CAT_VA,Loại VA
CAT_Navy,Loại Hải quân
CAT_IHS,Loại IHS
CAT_Army,Loại Quân đội
CAT_AF,Loại Không quân
Back Panel Material,Vật liệu bảng sau
BTUperhour,Đơn vị BTU/h
Left Back Pipe Gate,Cửa ống trái sau
Left Pipe Gate,Cửa ống trái
Right Back Pipe Gate,Cửa ống phải sau
Right Pipe Gate,Cửa ống phải
Power,Công suất
Critical Path,Đường đi quan trọng
Schedule Level,Cấp lịch
Drain Pipe Fixture Units,Đơn vị ống thoát nước
Gas Pipe Flow,Lưu lượng ống khí
Liquid Pipe Flow,Lưu lượng ống lỏng
System Classification,Phân loại hệ thống
System Name,Tên hệ thống
Function Code,Mã chức năng
Right Bottom Pipe Gate,Cửa ống phải dưới
IFCExportAs,Xuất IFC như
IFCExportType,Loại xuất IFC
Frequency,Tần số
Voltage,Điện áp
Cooling Capacity (kW),Công suất làm mát (kW)
Heating Capacity (kW),Công suất sưởi (kW)
Cooling Input Power (kW),Công suất đầu vào làm mát (kW)
Heating Input Power (kW),Công suất đầu vào sưởi (kW)
Airflow rate_HIGH_Cooling (m3/h),Lưu lượng không khí làm mát cao (m3/h)
Airflow rate_MED_Cooling (m3/h),Lưu lượng không khí làm mát trung bình (m3/h)
Airflow rate_LOW_Cooling (m3/h),Lưu lượng không khí làm mát thấp (m3/h)
Airflow rate_QUIET_Cooling (m3/h),Lưu lượng không khí làm mát yên tĩnh (m3/h)
Airflow rate_HIGH_Heating (m3/h),Lưu lượng không khí sưởi cao (m3/h)
Airflow rate_MED_Heating (m3/h),Lưu lượng không khí sưởi trung bình (m3/h)
Airflow rate_LOW_Heating (m3/h),Lưu lượng không khí sưởi thấp (m3/h)
Airflow rate_QUIET_Heating (m3/h),Lưu lượng không khí sưởi yên tĩnh (m3/h)
Sound Pressure Level_HIGH_Cooling (dB(A)),Cấp áp âm thanh làm mát cao (dB(A))
Sound Pressure Level_MED_Cooling (dB(A)),Cấp áp âm thanh làm mát trung bình (dB(A))
Sound Pressure Level_LOW_Cooling (dB(A)),Cấp áp âm thanh làm mát thấp (dB(A))
Sound Pressure Level_QUIET_Cooling (dB(A)),Cấp áp âm thanh làm mát yên tĩnh (dB(A))
Sound Pressure Level_HIGH_Heating (dB(A)),Cấp áp âm thanh sưởi cao (dB(A))
Sound Pressure Level_MED_Heating (dB(A)),Cấp áp âm thanh sưởi trung bình (dB(A))
Sound Pressure Level_LOW_Heating (dB(A)),Cấp áp âm thanh sưởi thấp (dB(A))
Sound Pressure Level_QUIET_Heating (dB(A)),Cấp áp âm thanh sưởi yên tĩnh (dB(A))
Cooling Sound Power Level (dB(A)),Cấp công suất âm thanh làm mát (dB(A))
Heating Sound Power Level (dB(A)),Cấp công suất âm thanh sưởi (dB(A))
Classification,Phân loại
White,Trắng
Depth (mm),Chiều sâu (mm)
Height (mm),Chiều cao (mm)
Width (mm),Chiều rộng (mm)
Liquid Pipe Diameter (mm),Đường kính ống lỏng (mm)
Gas Pipe Diameter (mm),Đường kính ống khí (mm)
Drain Pipe Diamater (mm),Đường kính ống thoát nước (mm)
Article Description,Mô tả sản phẩm
Article Type,Loại sản phẩm
CB-NL Class,Loại CB-NL
Copyright,Quyền sở hữu
Custom,Tùy chỉnh
EMCS Version,Phiên bản EMCS
ETIM Article Class,Loại sản phẩm ETIM
Family Version,Phiên bản gia đình
GLN,Mã GLN
GTIN,Mã GTIN
Internal ArtNo.,Số nội bộ
MEPcontent Class,Loại nội dung MEP
Manufacturer ArtNo.,Số sản phẩm nhà sản xuất
Manufacturer URL,URL nhà sản xuất
Product Line,Dòng sản phẩm
Revit Version,Phiên bản Revit
Stabu Code,Mã Stabu
Wholesaler,Nhà phân phối
Wholesaler ArtNo.,Số nhà phân phối
Unit Weight (kg),Trọng lượng đơn vị (kg)
Height Offset From Level,Chiều cao offset từ mức
Has Association,Có liên kết
Slope,Góc nghiêng
Elevation at Top,Mức độ cao trên
Elevation at Bottom,Mức độ cao dưới
Default Thickness,Độ dày mặc định
Defines Slope,Định nghĩa góc nghiêng
Defines Constant Height,Định nghĩa chiều cao cố định
Offset From Base,Offset từ cơ sở
Concrete Cantilever,Cầu cantilever bằng bê tông
Steel Cantilever,Cầu cantilever bằng thép
Alignment Method,Phương pháp căn chỉnh
In-Plane Projection,Dự kiến trong mặt phẳng
Manually Adjusted,Được điều chỉnh thủ công
Wall offset,Offset tường
Extend into wall (to core),Tăng vào tường (đến lõi)
Exterior Trim Visibility,Độ nhìn thấy của cắt giảm bên ngoài
Interior Trim Visibility,Độ nhìn thấy của cắt giảm bên trong
Extension Jamb Visibility,Độ nhìn thấy của cột mở rộng
Window Inset,Cửa sổ chèn
Exterior Wall Closure,Khóa tường bên ngoài
Interior Wall Closure,Khóa tường bên trong
Extension Jamb,Cột mở rộng
Wall Thickness,Độ dày tường
Frame Extension,Cắt giảm khung
Host Family,Gia đình chủ
Exterior Frame Material,Vật liệu khung bên ngoài
Interior Frame Material,Vật liệu khung bên trong
Exterior Trim Material,Vật liệu cắt giảm bên ngoài
Interior Trim Material,Vật liệu cắt giảm bên trong
Glass Panel Material,Vật liệu bảng kính
Muntin Visibility,Độ nhìn thấy của muntin
Muntin Pattern,Mẫu muntin
Exterior Trim,Cắt giảm bên ngoài
Interior Trim,Cắt giảm bên trong
Default Sill Height,Chiều cao chân cửa mặc định
Half Width,Chiều rộng nửa
Exterior Material,Vật liệu bên ngoài
Interior Material,Vật liệu bên trong
Sub Family,Gia đình con
Distance,Khoảng cách
Trim Material,Vật liệu cắt giảm
Opening Width,Chiều rộng mở
Opening Height,Chiều cao mở
Picture Frame,Cắt giảm hình ảnh
Sill,Chân cửa
Trim Thickness_Picture Frame,Độ dày cắt giảm hình ảnh
Trim Thickness_with Sill,Độ dày cắt giảm với chân cửa
Sill Thickness,Độ dày chân cửa
Number,Số
Upper Limit,Giới hạn trên
Limit Offset,Offset giới hạn
Unbounded Height,Chiều cao không giới hạn
Occupancy,Tình trạng chiếm dụng
Department,Bộ phận
Base Finish,Hoàn thiện cơ sở
Ceiling Finish,Hoàn thiện trần
Wall Finish,Hoàn thiện tường
Floor Finish,Hoàn thiện sàn
Occupant,Người chiếm dụng
Computation Height,Chiều cao tính toán
Leader Line,Dòng chỉ dẫn
Angle,Góc
Show Volume,Hiển thị thể tích
Show Room Number,Hiển thị số phòng
Show Area,Hiển thị diện tích
Electrical Data,Dữ liệu điện
Calculate Coefficient of Utilization,Tính toán hệ số sử dụng
Coefficient of Utilization,Hệ số sử dụng
Switch ID,Mã chuyển đổi
Tilt Angle,Góc nghiêng
Photometric Web File,File web photometric
Light Loss Factor,Hệ số mất ánh sáng
Initial Intensity,Độ sáng ban đầu
Initial Color,Màu sắc ban đầu
Dimming Lamp Color Temperature Shift,Sự thay đổi nhiệt độ màu sắc của đèn giảm sáng
Color Filter,Lọc màu
Light Source Definition (family),Định nghĩa nguồn ánh sáng (gia đình)
Load Classification,Phân loại tải
Number of Poles,Số cột
Lamp,Đèn
Wattage Comments,Ghi chú công suất
Apparent Load,Tải biểu kiến
Base Material,Vật liệu cơ sở
Shade Material,Vật liệu bóng
Feed Through Lugs,Lỗ thông qua
SubFeed Lugs,Lỗ phụ
MCB Rating,Đánh giá MCB
Feed,Động lực
Circuit Naming,Tên mạch
Circuit Prefix Separator,Separator tiền tố mạch
Circuit Prefix,Tiền tố mạch
Modifications,Sự thay đổi
Mains,Mains
Short Circuit Rating,Đánh giá mạch ngắn
Max Number of Single Pole Breakers,Số cực đơn cực lớn nhất
Distribution System,Hệ thống phân phối
Supply From,Cung cấp từ
Number of Wires,Số dây
Number of Phases,Số pha
Circuit Numbering Option,Tùy chọn số mạch
Enclosure,Bọc
Mounting,Cố định
Panel Name,Tên bảng
Total Connected,Tổng kết nối
Total Estimated Demand,Tổng yêu cầu ước tính
Total Demand Factor,Hệ số yêu cầu tổng
Total Connected Current,Tổng dòng điện kết nối
Total Estimated Demand Current,Tổng dòng điện yêu cầu ước tính
Apparent Load Phase A,Tải biểu kiến pha A
Apparent Load Phase B,Tải biểu kiến pha B
Apparent Load Phase C,Tải biểu kiến pha C
Current Phase A,Dòng điện pha A
Current Phase B,Dòng điện pha B
Current Phase C,Dòng điện pha C
Schedule Header Notes,Ghi chú đầu lịch
Schedule Footer Notes,Ghi chú cuối lịch
Neutral Rating,Đánh giá trung tính
Neutral Bus,Buses trung tính
Ground Bus,Buses đất
Bussing,Bussing
Mains Type,Loại Mains
Wattage,Công suất
Mounting Height,Chiều cao cố định
Placement Height,Chiều cao đặt
Family Name,Tên Họ
